period,experiment_runn,measurer,main,IDLE,tiT,ipc0,Tmr Svc,ipc1,wifi,sys_evt,esp_timer,Heap,Stack,Mbps
0,588,4760,115683,50477312,33758,27248,17,45017,935626,13753,27672,290216,4124,0.05
1,6156,15629,115683,51474921,34682,27248,17,45017,940370,13753,28188,290216,4124,0.00
2,6156,18565,115683,52464966,35929,27248,17,45017,948912,13753,28895,290216,4124,0.00
3,15092,21482,115683,53428713,48522,27248,17,45017,974440,13753,29962,290216,4124,0.50
4,20062,24404,115683,54401809,63519,27248,17,45017,994950,13753,30907,290216,4124,0.35
5,26489,27175,115683,55372265,86338,27248,17,45017,1018154,13753,31820,290216,4124,0.50
6,26489,30351,115683,56351030,156637,27248,17,45017,1037609,13753,32753,290216,4124,0.28
7,26489,33172,115683,57325841,229066,27248,17,45017,1060986,13753,33519,290216,4124,0.22
8,26700,40649,115683,58908981,731153,27248,17,45017,1090393,13753,34358,290216,4124,0.08
9,30699,43412,115683,59267069,863240,27248,17,45017,1115028,13753,35363,290216,4124,0.29
10,31899,46434,115683,60239183,1044275,27248,17,45017,1139831,13753,36008,290216,4124,0.37
11,34639,49444,115683,61210016,1191337,27248,17,45017,1164317,13753,36715,290216,4124,0.28
12,40637,52444,115683,62181301,1210501,27248,17,45017,1185460,13753,37474,290216,4124,0.42
13,45763,55444,115683,63155649,1219385,27248,17,45017,1203620,13753,38122,290216,4124,0.36
14,49525,58434,115683,64130923,1226208,27248,17,45017,1222044,13753,39098,290216,4124,0.26
15,52155,61438,115683,65110696,1231896,27248,17,45017,1237482,13753,40093,290216,4124,0.18
16,55294,64443,115683,66089295,1238065,27248,17,45017,1253105,13753,40981,290216,4124,0.23
17,59305,67646,115683,67065874,1245388,27248,17,45017,1270706,13753,41732,290216,4124,0.29
18,65850,70396,115683,68034629,1256233,27248,17,45017,1293100,13753,42402,290216,4124,0.46
19,78068,76398,115683,69983376,1275748,27248,17,45017,1328655,13753,43784,290216,4124,0.57
20,90004,82316,115683,71930562,1295463,27248,17,45017,1366418,13753,44896,290216,4124,0.49
21,97172,85205,115683,72900675,1306854,27248,17,45017,1386939,13753,45618,290216,4124,0.50
22,101796,88296,115683,73877401,1314551,27248,17,45017,1402971,13753,46506,290216,4124,0.32
23,110750,94454,115683,75832486,1329765,27248,17,45017,1434593,13753,48270,290216,4124,0.26
24,114896,97529,115683,76810084,1337288,27248,17,45017,1449671,13753,49252,290216,4124,0.28
25,116057,100606,115683,77787418,1340380,27248,17,45017,1468283,13753,50345,290216,4124,0.07
26,121463,103679,115683,78757527,1349760,27248,17,45017,1489902,13753,51302,290216,4124,0.41
27,123693,106760,115683,80376536,1357951,27248,17,45017,1508667,13753,52324,290216,4124,0.40
28,123693,109624,115683,80726909,1358880,27248,17,45017,1517902,13753,53213,290216,4124,0.00
29,123693,112697,115683,81715926,1360993,27248,17,45017,1527845,13753,53967,290216,4124,0.00
30,123693,115783,115683,82706926,1362193,27248,17,45017,1536224,13753,54624,290216,4124,0.00
31,127778,118734,115683,83682301,1369483,27248,17,45017,1554923,13753,55756,290216,4124,0.25
32,127778,121552,115683,84662512,1380233,27248,17,45017,1573499,13753,56420,290216,4124,0.47
33,127778,124630,115683,85644894,1382191,27248,17,45017,1589127,13753,57330,290216,4124,0.05
34,127778,127711,115683,86638184,1383333,27248,17,45017,1595358,13753,57875,290216,4124,0.00
35,127778,130782,115683,87630034,1384424,27248,17,45017,1602823,13753,58598,290216,4124,0.00
36,127778,133853,115683,88622066,1385543,27248,17,45017,1610151,13753,59247,290216,4124,0.00
37,127778,136925,115683,89614618,1386670,27248,17,45017,1616918,13753,59939,290216,4124,0.00
38,127778,139994,115683,90608719,1387590,27248,17,45017,1622297,13753,60527,290216,4124,0.00
39,136786,143061,115683,91574288,1400915,27248,17,45017,1645773,13753,61332,290216,4124,0.51
40,147039,146150,115683,92541466,1416847,27248,17,45017,1668285,13753,61980,290216,4124,0.81
41,149899,149241,115683,93508889,1429981,27248,17,45017,1695430,13753,63061,290216,4124,0.64
42,154634,152056,115683,94479512,1439656,27248,17,45017,1718835,13753,63985,290216,4124,0.36
43,154634,155135,115683,95465459,1440873,27248,17,45017,1730804,13753,64995,290216,4124,0.01
44,162418,158212,115683,96434281,1453091,27248,17,45017,1753671,13753,65807,290216,4124,0.59
45,178918,161437,115683,97379608,1478805,27248,17,45017,1789744,13753,66646,290216,4124,1.36
46,191686,164546,115683,98330353,1499437,27248,17,45017,1823230,13753,67659,290216,4124,1.09
47,196155,167320,115683,99297775,1515852,27248,17,45017,1849925,13753,68466,290216,4124,0.75
48,198569,170568,115683,100271987,1525161,27248,17,45017,1870680,13753,69544,290216,4124,0.46
49,205007,173818,115683,101236689,1539193,27248,17,45017,1898111,13753,70717,290216,4124,0.64
50,211129,177059,115683,102210688,1549723,27248,17,45017,1917512,13753,71451,290216,4124,0.52
51,212642,180233,115683,103180659,1563550,27248,17,45017,1943881,13753,72316,290216,4124,0.67
52,217901,183261,115683,104162116,1571861,27248,17,45017,1957042,13753,72883,290216,4124,0.31
53,221906,186498,115683,105139469,1580355,27248,17,45017,1973706,13753,73863,290216,4124,0.47
54,228639,189747,115683,106103996,1593078,27248,17,45017,2001674,13753,74770,290216,4124,0.66
55,235293,192720,115683,107074463,1604734,27248,17,45017,2023506,13753,75507,290216,4124,0.53
56,246030,195969,115683,108028332,1624352,27248,17,45017,2056598,13753,76712,290216,4124,1.11
57,252722,199219,115683,108997109,1635538,27248,17,45017,2079493,13753,77711,290216,4124,0.57
58,252722,202133,115683,109975707,1641868,27248,17,45017,2098517,13753,79078,290216,4124,0.27
59,252722,205384,115683,110965007,1643572,27248,17,45017,2107062,13753,79792,290216,4124,0.00
60,266305,208635,115683,113203223,1666963,27248,17,45017,2142308,13753,80645,290216,4124,1.17
61,268753,211660,115683,112888385,1682023,27248,17,45017,2167249,13753,81610,290216,4124,0.72
62,272737,214911,115683,113869773,1688378,27248,17,45017,2180185,13753,82299,290216,4124,0.21
63,281731,217953,115683,114834565,1704683,27248,17,45017,2207335,13753,83161,290216,4124,0.95
64,287222,221096,115683,115798711,1721787,27248,17,45017,2236833,13753,84341,290216,4124,0.88
65,289076,224351,115683,116780428,1727121,27248,17,45017,2250520,13753,85224,290216,4124,0.19
66,289076,227612,115683,117765278,1731345,27248,17,45017,2263446,13753,85970,290216,4124,0.14
67,289076,230862,115683,118756766,1732561,27248,17,45017,2270055,13753,86687,290216,4124,0.00
68,292723,234104,115683,119726462,1747114,27248,17,45017,2294172,13753,87427,290216,4124,0.66
69,302944,237353,115683,120685405,1765018,27248,17,45017,2322675,13753,88412,290216,4124,0.82
70,312508,240604,115683,121644652,1783003,27248,17,45017,2350878,13753,89326,290216,4124,0.94
71,326637,243862,115683,122594068,1806976,27248,17,45017,2387275,13753,90308,290216,4124,1.35
72,329708,247110,115683,123575786,1812930,27248,17,45017,2401454,13753,91309,290216,4124,0.28
73,329708,249770,115683,124562651,1814004,27248,17,45017,2412878,13753,92347,290216,4124,0.00
74,331790,253021,115683,125542685,1819141,27248,17,45017,2428883,13753,93106,290216,4124,0.19
75,338000,256276,115683,126511131,1830835,27248,17,45017,2452522,13753,94158,290216,4124,0.57
76,338000,259527,115683,127500962,1832016,27248,17,45017,2461601,13753,95055,290216,4124,0.00
77,338000,262770,115683,128492857,1833118,27248,17,45017,2467906,13753,95715,290216,4124,0.00
78,342190,266011,115683,129468491,1840810,27248,17,45017,2486738,13753,96455,290216,4124,0.34
79,344201,269254,115683,130450186,1845735,27248,17,45017,2500416,13753,97212,290216,4124,0.13
80,348390,272494,115683,131425224,1852895,27248,17,45017,2518982,13753,98073,290216,4124,0.29
81,352413,275731,115683,132402494,1859812,27248,17,45017,2535609,13753,98902,290216,4124,0.28
82,356266,278977,115683,133379847,1866485,27248,17,45017,2551477,13753,99847,290216,4124,0.26
83,362514,282219,115683,134350385,1876647,27248,17,45017,2571761,13753,100574,290216,4124,0.44
84,367767,285375,115683,135326594,1885090,27248,17,45017,2588163,13753,101369,290216,4124,0.37
85,372155,288603,115683,138071360,1892674,27248,17,45017,2602522,13753,102250,290216,4124,0.31
86,375439,291615,115683,137290879,1898810,27248,17,45017,2614929,13753,103173,290216,4124,0.24
87,379319,294846,115683,138269289,1905348,27248,17,45017,2630125,13753,104156,290216,4124,0.27
88,383485,298076,115683,139246238,1912502,27248,17,45017,2646238,13753,105060,290216,4124,0.28
89,389677,301273,115683,140220741,1923238,27248,17,45017,2664582,13753,105712,290216,4124,0.43
90,393580,304522,115683,141197432,1930178,27248,17,45017,2681586,13753,106435,290216,4124,0.27
91,399839,307494,115683,142169542,1940300,27248,17,45017,2701149,13753,107224,290216,4124,0.43
92,406652,310722,115683,143142339,1950937,27248,17,45017,2719714,13753,107878,290216,4124,0.47
93,413064,313955,115683,144117905,1960758,27248,17,45017,2736185,13753,108592,290216,4124,0.45
94,418332,316979,115683,145093579,1969383,27248,17,45017,2752963,13753,109361,290216,4124,0.36
95,425007,320209,115683,146065404,1979779,27248,17,45017,2772370,13753,110021,290216,4124,0.45
96,432856,323457,115683,147036952,1991963,27248,17,45017,2790916,13753,110556,290216,4124,0.54
97,439122,326685,115683,148009838,2001946,27248,17,45017,2810054,13753,111219,290216,4124,0.43
98,446095,329933,115683,148980574,2013066,27248,17,45017,2829647,13753,111884,290216,4124,0.49
99,451728,333163,115683,149953864,2022713,27248,17,45017,2848344,13753,112783,290216,4124,0.39
100,457389,336421,115683,150928189,2031718,27248,17,45017,2866157,13753,113583,290216,4124,0.39
101,464491,339429,115683,151900402,2042705,27248,17,45017,2885232,13753,114275,290216,4124,0.49
102,477029,348831,115683,154810776,2064222,27248,17,45017,2955086,13753,116781,290216,4124,0.49
103,482653,351779,115683,155784823,2073312,27248,17,45017,2974423,13753,117566,290216,4124,0.37
104,488147,355042,115683,156760379,2082229,27248,17,45017,2991161,13753,118266,290216,4124,0.39
105,495375,358075,115683,157732164,2093624,27248,17,45017,3012093,13753,118780,290216,4124,0.49
106,500968,361282,115683,158703430,2102884,27248,17,45017,3032601,13753,119692,290216,4124,0.39
107,505909,364500,115683,159679428,2110924,27248,17,45017,3049600,13753,120449,290216,4124,0.34
108,511509,367730,115683,160655775,2120078,27248,17,45017,3065566,13753,121146,290216,4124,0.39
109,513426,370972,115683,161635395,2126819,27248,17,45017,3081339,13753,121942,290216,4124,0.26
110,520043,373820,115683,162605817,2137369,27248,17,45017,3102182,13753,122600,290216,4124,0.46
111,526364,376875,115683,163577941,2147202,27248,17,45017,3121715,13753,123273,290216,4124,0.44
112,535691,383356,115683,165524751,2162833,27248,17,45017,3160568,13753,124993,290216,4124,0.32
113,543481,386347,115683,166496427,2175122,27248,17,45017,3181095,13753,125763,290216,4124,0.53
114,549812,389566,115683,167470761,2185049,27248,17,45017,3198484,13753,126505,290216,4124,0.44
115,554947,392658,115683,168447243,2193694,27248,17,45017,3214455,13753,127179,290216,4124,0.36
116,559815,395895,115683,171898649,2202013,27248,17,45017,3232469,13753,127969,290216,4124,0.33
117,565086,398963,115683,170401929,2210918,27248,17,45017,3248454,13753,128689,290216,4124,0.37
118,570218,402216,115683,171376364,2219841,27248,17,45017,3265867,13753,129478,290216,4124,0.36
119,576760,405226,115683,172350449,2230337,27248,17,45017,3283716,13753,130279,290216,4124,0.44
120,582632,408452,115683,173323408,2239639,27248,17,45017,3302398,13753,131151,290216,4124,0.40
121,590887,411703,115683,174289691,2253181,27248,17,45017,3326553,13753,131984,290216,4124,0.64
122,591221,414952,115683,175262679,2261488,27248,17,45017,3350697,13753,133325,290216,4124,0.37
123,595218,418204,115683,176231555,2270908,27248,17,45017,3374511,13753,134191,290216,4124,0.33
124,600020,420915,115683,177204875,2279073,27248,17,45017,3395674,13753,135255,290216,4124,0.38
125,601545,424145,115683,178176035,2292222,27248,17,45017,3421122,13753,136082,290216,4124,0.60
126,609604,427303,115683,179136745,2313460,27248,17,45017,3451117,13753,136862,290216,4124,0.97
127,616327,430183,115683,180101213,2328261,27248,17,45017,3479066,13753,137817,290216,4124,0.69
128,624399,433360,115683,181054805,2352053,27248,17,45017,3516011,13753,138622,290216,4124,1.20
129,627313,436604,115683,182027260,2360623,27248,17,45017,3538354,13753,139712,290216,4124,0.41
130,627313,439853,115683,183014967,2362569,27248,17,45017,3548591,13753,140605,290216,4124,0.05
131,630079,443093,115683,183992365,2369147,27248,17,45017,3565296,13753,141501,290216,4124,0.21
132,638813,446314,115683,184954018,2385409,27248,17,45017,3593576,13753,142411,290216,4124,0.86
133,646158,449569,115683,185909833,2406735,27248,17,45017,3627106,13753,143258,290216,4124,1.00
134,654549,452806,115683,186875097,2421220,27248,17,45017,3652579,13753,144125,290216,4124,0.78
135,659043,456055,115683,187845931,2429198,27248,17,45017,3674586,13753,145154,290216,4124,0.38
136,662589,458669,115683,188820533,2437013,27248,17,45017,3695592,13753,146156,290216,4124,0.33
137,669311,461942,115683,189786853,2449357,27248,17,45017,3720374,13753,147118,290216,4124,0.61
138,675945,465194,115683,190755514,2460911,27248,17,45017,3743510,13753,148300,290216,4124,0.59
139,679024,468674,115683,191722988,2475590,27248,17,45017,3770595,13753,149256,290216,4124,0.65
140,680963,471545,115683,192697636,2484097,27248,17,45017,3792028,13753,150185,290216,4124,0.41
141,683184,474805,115683,193673741,2493613,27248,17,45017,3811920,13753,151065,290216,4124,0.38
142,686536,477804,115683,194645422,2504387,27248,17,45017,3835409,13753,152057,290216,4124,0.54
143,691760,481410,115683,195615370,2517112,27248,17,45017,3858081,13753,152801,290216,4124,0.57
144,691760,484116,115683,196603349,2518581,27248,17,45017,3868014,13753,153709,290216,4124,0.01
145,692497,487362,115683,197590429,2521361,27248,17,45017,3878019,13753,154362,290216,4124,0.07
146,698156,490594,115683,198556256,2532087,27248,17,45017,3903414,13753,155538,290216,4124,0.45
147,699367,493753,115683,199532718,2537149,27248,17,45017,3925177,13753,156427,290216,4124,0.17
148,703247,498322,115683,200503375,2546561,27248,17,45017,3948198,13753,157279,290216,4124,0.40
149,703247,501568,115683,201493669,2548590,27248,17,45017,3955985,13753,158009,290216,4124,0.05
150,707402,504815,115683,202468364,2556111,27248,17,45017,3975130,13753,159082,290216,4124,0.30
151,714203,508060,115683,203434650,2569190,27248,17,45017,4001050,13753,159915,290216,4124,0.60
152,721721,510842,115683,204401925,2585494,27248,17,45017,4027332,13753,160692,290216,4124,0.78
153,723149,514053,115683,205383951,2590374,27248,17,45017,4041594,13753,161610,290216,4124,0.15
154,723361,517296,115683,206371956,2592070,27248,17,45017,4051327,13753,162383,290216,4124,0.02
155,723567,520528,115683,207360833,2594426,27248,17,45017,4060038,13753,163058,290216,4124,0.05
156,727278,523767,115683,208338194,2601766,27248,17,45017,4076796,13753,163760,290216,4124,0.26
157,734808,526554,115683,209307425,2613677,27248,17,45017,4098962,13753,164702,290216,4124,0.55
158,747655,529413,115683,213633376,2632647,27248,17,45017,4128738,13753,165415,290216,4124,0.94
159,752579,535601,115683,212215453,2645576,27248,17,45017,4170896,13753,167603,290216,4124,0.20
160,761654,538872,115683,213178970,2660745,27248,17,45017,4196246,13753,168363,290216,4124,0.70
161,772836,542102,115683,214139138,2677099,27248,17,45017,4223293,13753,169092,290216,4124,0.79
162,780833,545233,115683,215104720,2689607,27248,17,45017,4247716,13753,170089,290216,4124,0.54
163,793293,548391,115683,216061000,2708235,27248,17,45017,4277971,13753,170887,290216,4124,0.92
164,801693,551516,115683,217027184,2721192,27248,17,45017,4301006,13753,171767,290216,4124,0.59
165,809412,554756,115683,217994213,2734035,27248,17,45017,4324255,13753,172436,290216,4124,0.53
166,816911,558192,115683,218966724,2746070,27248,17,45017,4343511,13753,173000,290216,4124,0.51
167,825683,560940,115683,223541228,2759331,27248,17,45017,4367101,13753,173689,290216,4124,0.61
168,832173,563980,115683,220908785,2769202,27248,17,45017,4386041,13753,174691,290216,4124,0.46
169,839556,567219,115683,221878025,2780851,27248,17,45017,4407703,13753,175467,290216,4124,0.50
170,845609,570460,115683,222848048,2790292,27248,17,45017,4429312,13753,176074,290216,4124,0.40
171,849967,573867,115683,223823422,2797895,27248,17,45017,4447131,13753,176906,290216,4124,0.30
172,856502,576794,115683,224800801,2806754,27248,17,45017,4463881,13753,177689,290216,4124,0.37
